day,bitcoin,ethereum,tether,usd-coin,binancecoin,binance-usd,ripple,cardano,solana,dogecoin,polkadot,shiba-inu,staked-ether,dai,matic-network,tron
2022-07-31,-0.005401889211475423,0.002570765920585738,0.0,0.0,-0.004062398440038975,0.0,0.0,0.0,-0.018230563002680944,0.0,0.08045977011494246,0.0,-0.002564321736900584,0.0,0.0,0.0
2022-08-01,-0.03948002652344224,-0.01676217963839206,0.04761904761904765,0.04761904761904765,0.00172683167502674,0.04761904761904765,0.0,0.0,-0.02723311546840954,0.0,-0.06332453825857516,0.021782178217821708,-0.015665239104762245,0.04761904761904765,-0.0250000000000001,0.0
2022-08-02,0.006163636157792538,0.00970200970200959,-0.022727272727272665,-0.022727272727272665,0.020262510254306868,-0.022727272727272665,0.0,0.0,0.004466778336125057,0.0,-0.030812324929971976,-0.0019379844961240245,0.006320947562230973,-0.022727272727272665,-0.02564102564102557,0.0
2022-08-03,0.02181554192566049,-0.007002801120448185,0.0,0.0,0.0404145910332637,0.0,0.0,0.0,-0.04459308807134894,0.0,0.028901734104046162,-0.003883495145631055,-0.008602860918021519,0.0,0.026315789473684136,0.0
2022-08-04,-0.03779520125333353,0.004763187366212402,0.023255813953488306,0.023255813953488306,0.04279854500425661,0.023255813953488306,0.0,0.0,-0.0023378141437756265,0.0,-0.005602240896358528,0.015624999999999946,0.0023831320749233107,0.023255813953488306,0.025641025641025744,0.0
2022-08-05,0.013696349711716653,0.030871345855105318,-0.02222222222222231,-0.02222222222222231,-0.002254709433413449,0.0,0.0,0.0,0.015789473684210593,0.0,0.047887323943661915,0.003838771593090198,0.023120548859202502,-0.02222222222222231,-0.0250000000000001,0.0
2022-08-06,0.01141651152255933,0.007719585379159808,-0.022727272727272665,-0.022727272727272665,0.010794252789730915,-0.022727272727272665,0.0,0.0,0.006310958118187,0.0,0.00537634408602149,-0.0057361376673039964,0.009134934417665505,-0.022727272727272665,0.025641025641025744,0.0
2022-08-07,0.0010568975382431664,-0.005098383934005035,0.0,0.0,0.010612007559238284,0.0,0.0,0.0,-0.0022766078542971525,0.0,0.016129032258064616,0.0019267822736030763,-0.007349132802329293,0.0,0.0,0.0
2022-08-08,0.03368938278574923,0.0037305333984480635,-0.023255813953488465,-0.023255813953488465,-0.02362148190694999,-0.023255813953488465,0.0,0.0,0.007972665148063851,0.0,0.02380952380952367,-0.007692307692307667,0.004935528776523252,-0.023255813953488465,-0.0250000000000001,0.0
2022-08-09,-0.03724634258490435,-0.022399978526084146,0.023809523809523905,0.023809523809523905,0.017763157894736856,0.023809523809523905,0.0,0.0,-0.020281690140845073,0.0,-0.01804123711340208,-0.03094777562862659,-0.018053255014406504,0.023809523809523905,-0.02564102564102557,0.0
2022-08-10,0.020268761457328994,0.04927730265854257,-0.023255813953488465,-0.023255813953488465,0.0009372746935832101,-0.023255813953488465,0.0,0.0,0.007462686567164174,0.0,0.05789473684210524,0.04868154158215015,0.05052509247580038,-0.023255813953488465,0.026315789473684136,0.0
2022-08-11,0.021667304060594247,0.013748604367356535,-0.023809523809523746,-0.023809523809523746,-0.02321544803645043,-0.023809523809523746,0.0,0.0,0.02515723270440263,0.0,-0.0495049504950495,-0.011583011583011544,0.02130329195898539,-0.023809523809523746,-0.02564102564102557,0.0
2022-08-12,0.0020398141971067515,0.012404921129205175,0.0,0.0,-0.004598042123998781,0.0,0.0,0.0,0.005577244841048415,0.0,0.010389610389610502,0.0058365758754863615,0.012922582937453077,0.0,0.0,0.0
2022-08-13,0.009916860438702668,0.018058605760180656,0.0,0.0,-0.007731192387749028,0.0,0.0,0.045454545454545484,0.034164859002169264,0.0,-0.0077120822622108445,-0.003861003861003848,0.023098897405736552,0.0,0.10526315789473673,0.0
2022-08-14,-0.007139451183267728,-0.018483763427583802,0.0,0.0,-0.009865200692823194,0.0,0.0,0.0,-0.02421052631578949,0.0,-0.03394255874673627,0.2965116279069767,-0.021347176500379757,0.0,0.0,0.0
2022-08-15,-0.0072108177072215405,-0.010869428632462581,0.0,0.0,0.005705157462345992,0.0,-0.06249999999999993,0.0,-0.019903173749327555,0.0,-0.008130081300813058,-0.03913043478260871,-0.011006451612903131,0.0,-0.024390243902438956,0.0
2022-08-16,-0.010752303753308582,-0.004569919772519539,0.0,0.0,-0.004990170875548169,0.0,0.0,0.0,-0.012035010940918973,0.33333333333333326,0.005464480874316924,0.022796352583586546,-0.007104194857915985,0.0,-0.0250000000000001,0.0
2022-08-17,-0.017244430790191754,0.005846910309160173,0.023809523809523905,0.023809523809523905,0.0012134081601699067,0.023809523809523905,0.0,-0.04166666666666669,-0.02052135330005542,0.0,-0.02432432432432433,-0.01928783382789326,0.007078068473758701,0.0,0.0,0.0
2022-08-18,-0.0008112244985508578,0.014392587247939835,0.0,0.0,-0.016638935108153056,0.0,0.0,0.0,-0.006278538812785479,-0.24999999999999994,-0.00828729281767961,-0.0742424242424243,0.01259865042320559,0.0,-0.02564102564102557,0.0
2022-08-19,-0.08499794467782773,-0.0065808369026360775,0.09302325581395338,0.09302325581395338,0.029307692307692396,0.09302325581395338,0.0,-0.043478260869565244,-0.003434459072696134,0.0,-0.022284122562674032,0.03273322422258598,-0.007109947509593282,0.09302325581395338,-0.026315789473684313,0.0
2022-08-20,-0.008395464908497068,-0.06007953732859958,0.0,0.0,-0.00953871376406585,0.0,0.0,-0.045454545454545484,-0.03438395415472776,0.0,-0.025568181818181823,-0.0458860759493671,-0.06259187620889746,0.0,-0.027027027027026952,0.0
